Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
150000,0.6482245,12.0,0.5452787655903476,88.85344827586206,0.43884453,0.10668488,0.545715089282419,0.08632113529980166,0.011303376,0.10118514,0.0002956607,0.09364649,0.18038492
160000,0.5901247,12.0,0.6031542979988985,81.66115702479338,0.45402265,0.11097606,0.6022444342573484,0.0829353691568637,0.010220741,0.097850546,0.00029535074,0.09728972,0.14005934
170000,0.5063849,12.0,0.6573116251038037,71.97101449275362,0.4907738,0.10712066,0.6558913068063017,0.07402318044889557,0.010985245,0.10151552,0.00029504028,0.10019505,0.12446667
180000,0.5472869,12.0,0.7090422198606678,65.4746835443038,0.56328404,0.09512745,0.7105189844777312,0.07447119809015171,0.0066989115,0.09547056,0.00029473167,0.10723923,0.11834182
190000,1.0489699,14.0,0.7959134636230726,50.027624309392266,0.6267797,0.08030984,0.7946537733078003,0.03742448257755756,0.010083219,0.0965725,0.00029445213,0.07040712,0.16067182
200000,0.9447515,18.0,0.8934717285349557,25.73107049608355,0.7773723,0.16917022,0.8934682425568683,0.012154771688007616,0.00648885,0.104512654,0.0002941719,0.043837015,0.071657956
210000,1.0018222,20.0,1.8418247622702721,40.50431034482759,0.87760687,0.29437044,1.8291077968375435,0.03366437282088084,0.14227994,0.102509715,0.00029386423,0.054647297,0.07851128
220000,0.93719435,23.0,2.2783958617885793,31.93092105263158,1.4944937,0.20538913,2.2795588840352425,0.012186795366288658,0.1136785,0.09727818,0.0002935562,0.02915524,0.07425641
230000,0.8866964,26.0,2.8621567715056684,34.87313432835821,2.1977508,0.17144787,2.8709033951440266,0.015470247181456148,0.065853044,0.102123655,0.00029325005,0.030120706,0.07162141
240000,0.8695121,28.0,1.5422340640362273,42.05106382978723,1.3832343,0.11809478,1.5324950497201149,0.013910271453255034,0.057000548,0.10020562,0.0002929395,0.025910761,0.04134462
250000,0.7806635,31.0,1.6835102803897686,37.63076923076923,1.6036276,0.13492106,1.684161559664286,0.03202867873389131,0.04187228,0.09874274,0.00029263267,0.058660336,0.07067616
260000,0.77704823,33.0,1.2937437142189814,39.04780876494024,1.7407376,0.115435466,1.3074426506212367,0.02599347263634929,0.0902438,0.10046103,0.00029232338,0.05553468,0.06817553
270000,0.81723034,36.0,1.9647515574986623,34.89818181818182,1.3970025,0.11258874,1.9393274106859733,0.012351890568584737,0.0494595,0.095879436,0.00029204518,0.023996357,0.034182068
