Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2220000,0.8022921,2.2221205,0.18993711,0.10016539,7.7844285e-05,67.26515151515152,3.1491859898422705,3.1491859898422705,1.0
2230000,0.79649514,2.1543827,0.13977689,0.09493834,7.774627e-05,81.89622641509433,2.8021469650403508,2.8021469650403508,1.0
2240000,0.7762333,2.0922935,0.14154813,0.10107913,7.76527e-05,83.63461538461539,3.046072480792091,3.046072480792091,1.0
2250000,0.779234,2.0155396,0.16091432,0.09955974,7.7547105e-05,92.6067415730337,2.7363233063997847,2.7363233063997847,1.0
2260000,0.78058356,1.5321516,0.142827,0.10352887,7.744691e-05,98.29411764705883,2.128263007893282,2.128263007893282,1.0
2270000,0.87252176,2.0694304,0.1805017,0.09401056,7.735074e-05,70.869918699187,3.2883122240910763,3.2883122240910763,1.0
2280000,0.93819964,1.8496907,0.12003644,0.09784154,7.724334e-05,82.11881188118812,2.512347161179722,2.512347161179722,1.0
2290000,0.93810976,1.8833687,0.12974472,0.09933643,7.71497e-05,71.34586466165413,2.4137803486415317,2.4137803486415317,1.0
2300000,0.8755833,2.0589585,0.11527244,0.1008173,7.705611e-05,79.90350877192982,3.0244525702376115,3.0244525702376115,1.0
2310000,0.87162477,1.8992828,0.103661165,0.09726625,7.6951575e-05,80.13157894736842,2.527754860488992,2.527754860488992,1.0
2320000,0.82097816,2.0989215,0.13212167,0.099478856,7.6844684e-05,90.8,3.397647910118103,3.397647910118103,1.0
2330000,0.8714383,2.319605,0.09998308,0.09460302,7.675148e-05,77.05932203389831,3.229098274928181,3.229098274928181,1.0
2340000,0.83730334,2.2700288,0.13303304,0.101835035,7.665774e-05,71.07142857142857,3.295765534043312,3.295765534043312,1.0
2350000,0.7718238,2.2190495,0.14374249,0.10657184,7.655013e-05,70.08108108108108,3.3051367553797637,3.3051367553797637,1.0
2360000,0.7952961,2.189436,0.13347328,0.09402656,7.645182e-05,74.83333333333333,2.7702934624641897,2.7702934624641897,1.0
2370000,0.8330976,2.1738334,0.10514487,0.093321644,7.635894e-05,72.58015267175573,3.020725854543539,3.020725854543539,1.0
2380000,0.83957297,2.3823347,0.2314518,0.09281704,7.625287e-05,72.568,2.7954122190475466,2.7954122190475466,1.0
2390000,0.82954115,2.0236557,0.19788215,0.097996645,7.61475e-05,79.28455284552845,2.8376024777327125,2.8376024777327125,1.0
2400000,0.81118834,1.7689134,0.16265842,0.09601136,7.604363e-05,86.8659793814433,2.0185543992081465,2.0185543992081465,1.0
2410000,0.80474645,1.8504442,0.15973611,0.09579825,7.594656e-05,89.81632653061224,2.726165776400222,2.726165776400222,1.0
2420000,0.83304816,2.06421,0.18545899,0.102401406,7.584703e-05,73.325,2.9113908555327344,2.9113908555327344,1.0
2430000,0.79592633,2.1883838,0.14250383,0.09948073,7.575403e-05,77.54545454545455,2.8956505299591626,2.8956505299591626,1.0
2440000,0.77587825,2.0521696,0.13023455,0.096380025,7.56496e-05,78.01,2.841102332472801,2.841102332472801,1.0
2450000,0.7561501,2.1957328,0.14655642,0.09844275,7.555437e-05,77.79807692307692,3.280049540883019,3.280049540883019,1.0
2460000,0.74194145,2.090437,0.12727562,0.10086383,7.5452066e-05,77.47058823529412,2.5033999636393633,2.5033999636393633,1.0
2470000,0.6733108,2.1407743,0.21088561,0.09294961,7.534246e-05,82.7948717948718,2.9554920849101296,2.9554920849101296,1.0
2480000,0.6741369,1.842447,0.32453808,0.09574084,7.525003e-05,77.2109375,2.224094884736197,2.224094884736197,1.0
2490000,0.72376627,2.4146218,0.16791892,0.09829254,7.515436e-05,79.94957983193277,3.4125912860035896,3.4125912860035896,1.0
2500000,0.74743885,2.0724928,0.14246255,0.09856154,7.504984e-05,70.825,2.4935122748051795,2.4935122748051795,1.0
2510000,0.7163191,1.7668188,0.15068321,0.101901285,7.495024e-05,80.10185185185185,2.64611775290083,2.64611775290083,1.0
2520000,0.70505315,1.7026688,0.10153799,0.10695255,7.4852556e-05,77.47474747474747,2.5167600387334823,2.5167600387334823,1.0
2530000,0.7031263,1.8382064,0.12566052,0.09685735,7.475424e-05,95.12121212121212,2.662688806957128,2.662688806957128,1.0
2540000,0.7569364,2.5899231,0.117140435,0.099373356,7.465317e-05,72.1726618705036,3.758788578752158,3.758788578752158,1.0
2550000,0.71129555,2.3120663,0.16302666,0.09787515,7.454904e-05,92.99038461538461,2.813951477550325,2.813951477550325,1.0
2560000,0.75774217,2.0738494,0.17755248,0.098924935,7.4452066e-05,77.85,2.971117268502712,2.971117268502712,1.0
2570000,0.75717086,1.9312077,0.1353446,0.095152706,7.434731e-05,84.36111111111111,2.3232660359806485,2.3232660359806485,1.0
2580000,0.8425446,2.0271387,0.17688027,0.09269641,7.425149e-05,87.6930693069307,2.991145060204043,2.991145060204043,1.0
2590000,0.8251213,2.1204011,0.14571369,0.098386206,7.415712e-05,73.71875,3.025142631327459,3.025142631327459,1.0
2600000,0.9111906,2.348724,0.09631736,0.09389195,7.404791e-05,75.01754385964912,3.0280655225118003,3.0280655225118003,1.0
2610000,0.87687033,1.7390054,0.24523962,0.10343161,7.3952586e-05,89.97058823529412,1.990559278165593,1.990559278165593,1.0
2620000,0.85836816,2.0609522,0.17848085,0.10364147,7.385827e-05,87.66355140186916,2.7761553002295094,2.7761553002295094,1.0
2630000,0.8085204,1.9830046,0.20972578,0.10894041,7.3753545e-05,76.1,2.7383158747889413,2.7383158747889413,1.0
2640000,0.8895458,2.0388305,0.1499642,0.09899184,7.364763e-05,75.66101694915254,2.929797350855197,2.929797350855197,1.0
2650000,0.8463603,2.2568762,0.157545,0.10015609,7.354245e-05,76.63025210084034,3.2012902097541747,3.2012902097541747,1.0
2660000,0.8747876,2.3093646,0.20841633,0.09864012,7.3448595e-05,92.88775510204081,3.4984125865965474,3.4984125865965474,1.0
2670000,0.89197236,2.1411614,0.17831823,0.096223466,7.335441e-05,83.63809523809523,2.7103524955938445,2.7103524955938445,1.0
2680000,0.93153083,1.9434814,0.11874013,0.096373774,7.3249124e-05,89.11764705882354,2.59458587311282,2.59458587311282,1.0
2690000,0.8775721,2.3555744,0.10454144,0.09858749,7.315075e-05,82.95192307692308,3.811886275382269,3.811886275382269,1.0
2700000,0.87271816,2.2064078,0.14250198,0.09136878,7.305078e-05,71.0827067669173,2.783045301834742,2.783045301834742,1.0
2710000,0.8830174,2.3424695,0.13899651,0.095548406,7.2945375e-05,70.0962962962963,3.0818499273724025,3.0818499273724025,1.0
2720000,0.87229335,2.3561153,0.11442858,0.09593846,7.284955e-05,73.72649572649573,3.2384297205851627,3.2384297205851627,1.0
2730000,0.8653691,2.129721,0.25040936,0.09948933,7.275267e-05,76.03389830508475,2.8854166632991727,2.8854166632991727,1.0
2740000,0.8864268,2.1135159,0.11063516,0.10050815,7.26472e-05,72.23076923076923,2.960650350497319,2.960650350497319,1.0
2750000,0.898956,2.374622,0.13314794,0.09594354,7.254891e-05,75.83333333333333,3.299167647957802,3.299167647957802,1.0
2760000,0.90091264,2.5629587,0.14274795,0.10211463,7.2454684e-05,77.44736842105263,3.633884456365005,3.633884456365005,1.0
2770000,0.8924529,2.6257641,0.1159359,0.09958266,7.235046e-05,80.19491525423729,3.3563976419174066,3.3563976419174066,1.0
2780000,0.8656896,2.1920485,0.14197461,0.100381635,7.224486e-05,83.4059405940594,3.252957885808284,3.252957885808284,1.0
2790000,0.9089153,2.2720444,0.10127201,0.0993356,7.2148265e-05,73.8015873015873,3.085429003715515,3.085429003715515,1.0
2800000,0.93712085,1.7772943,0.11142411,0.09742488,7.205432e-05,78.08571428571429,2.044302745660146,2.044302745660146,1.0
2810000,0.8965036,1.9971313,0.25520444,0.1007911,7.1950584e-05,71.0859375,2.6383095956407487,2.6383095956407487,1.0
2820000,0.8751896,2.0998056,0.16082038,0.099799864,7.18528e-05,81.48214285714286,2.66506955612983,2.66506955612983,1.0
2830000,0.89802176,1.8371358,0.15350685,0.08980027,7.175759e-05,84.01785714285714,2.337026687355729,2.337026687355729,1.0
2840000,0.907546,1.9014026,0.18334731,0.09923388,7.165327e-05,78.73275862068965,2.5967810962159756,2.5967810962159756,1.0
2850000,0.8636377,1.5693415,0.15769437,0.10207982,7.1552335e-05,94.52808988764045,2.256519269407465,2.256519269407465,1.0
2860000,0.87867683,1.9613919,0.19683166,0.10300736,7.1451184e-05,80.92631578947369,2.958734817253916,2.958734817253916,1.0
2870000,0.8327802,2.258374,0.13970956,0.0978909,7.134493e-05,72.7007874015748,3.129750344961409,3.129750344961409,1.0
2880000,0.79455113,1.8714404,0.1096815,0.09909995,7.1246934e-05,85.75,2.4631932160506644,2.4631932160506644,1.0
2890000,0.8377429,2.0736399,0.10345642,0.102633156,7.115301e-05,90.30630630630631,2.8689185348716943,2.8689185348716943,1.0
2900000,0.83828366,2.0926652,0.16626203,0.09996792,7.104818e-05,70.31782945736434,2.6814605533614637,2.6814605533614637,1.0
2910000,0.8186161,1.933129,0.09975147,0.10264353,7.0944734e-05,80.15126050420169,2.555177306219683,2.555177306219683,1.0
2920000,0.8635296,1.6676501,0.1615834,0.10331714,7.085182e-05,78.54,2.3530795807931937,2.3530795807931937,1.0
2930000,0.850391,1.7155112,0.11293168,0.0942484,7.075204e-05,90.78888888888889,2.2612483912044103,2.2612483912044103,1.0
2940000,0.8608988,1.6349232,0.10504949,0.09878659,7.065039e-05,81.91011235955057,2.4682239340932184,2.4682239340932184,1.0
2950000,0.8417423,2.2430446,0.096469045,0.09120062,7.05555e-05,67.85314685314685,3.389094139312531,3.389094139312531,1.0
2960000,0.84842,2.5396264,0.10122521,0.101651296,7.045048e-05,75.5546875,3.5391383152308427,3.5391383152308427,1.0
2970000,0.85770726,2.466129,0.18411453,0.09567498,7.034563e-05,76.8048780487805,3.187062216968071,3.187062216968071,1.0
2980000,0.8095039,2.36458,0.15282089,0.10621239,7.02442e-05,94.5,3.310996249001077,3.310996249001077,1.0
2990000,0.8128982,2.0626376,0.13651396,0.1014507,7.014233e-05,89.95192307692308,2.4895570192199488,2.4895570192199488,1.0
3000000,0.8081308,2.0684893,0.114427745,0.09536747,7.0048496e-05,85.58878504672897,3.275652223715076,3.275652223715076,1.0
3010000,0.8109318,2.2634432,0.12852891,0.09785782,6.995314e-05,90.14814814814815,3.1494178075656714,3.1494178075656714,1.0
3020000,0.8078628,1.9143515,0.17528142,0.094987296,6.984483e-05,74.67592592592592,2.361904692759208,2.361904692759208,1.0
3030000,0.7915422,1.9990075,0.24433301,0.09701605,6.975101e-05,93.17525773195877,3.024023776873946,3.024023776873946,1.0
