Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
170000,1.6267,1.0421796,0.1368702,0.20077054,0.098152176,9.9587254e-05,0.07588686,0.13918324,144.90196078431373,2.998936134810541,2.998936134810541,0.12167064982521184,1.0
180000,1.5927992,0.97927254,0.12762056,0.12122975,0.09501021,9.9559016e-05,0.069855414,0.18194185,162.14583333333334,2.4425468370318413,2.4425468370318413,0.14074908464681357,1.0
190000,1.5216861,1.1839181,0.1142203,0.17695667,0.093907885,9.953708e-05,0.09021917,0.16780514,112.75471698113208,2.674403678912383,2.674403678912383,0.12025151851300436,1.0
200000,1.5020386,1.4754912,0.105556086,0.19049284,0.10328971,9.9512734e-05,0.078341484,0.16306378,97.81318681318682,3.228693873345197,3.228693873345197,0.08900072013161012,1.0
210000,1.4429907,1.9603931,0.038874455,0.20000038,0.10201546,9.948759e-05,0.040188465,0.08791677,80.56756756756756,3.7630441991595536,3.7630441991595536,0.03514067207668648,1.0
220000,1.3861219,2.0648074,0.0035347077,0.26653594,0.100479916,9.946285e-05,0.0372454,0.06686428,64.76146788990826,2.7520603972290636,2.7520603972290636,0.021764078862119226,1.0
230000,1.4050289,1.7418104,-0.014576543,0.123747334,0.09828972,9.94364e-05,0.06479092,0.087903075,70.08988764044943,2.735401078556361,2.735401078556361,0.03803471264460783,1.0
240000,1.3580651,1.735676,0.03991905,0.14426342,0.100813866,9.94122e-05,0.07590151,0.12428613,92.76,3.0763477798145598,3.0763477798145598,0.07065739614847531,1.0
250000,1.4088975,1.6646776,0.06638015,0.22048882,0.10049615,9.938852e-05,0.051554672,0.10648296,102.51219512195122,1.9782624285162231,1.9782624285162231,0.052487961269547176,1.0
260000,1.3910193,1.5168922,0.08205201,0.27532664,0.09710414,9.936219e-05,0.034875285,0.06606068,78.68518518518519,2.807580968847981,2.807580968847981,0.03627210889977438,1.0
270000,1.3516971,2.0346012,0.111509815,0.13673998,0.09637801,9.933801e-05,0.041773826,0.088067815,85.36697247706422,2.990091377988868,2.990091377988868,0.03757387259013848,1.0
280000,1.4111472,2.203294,0.16295855,0.11440879,0.10202179,9.9313e-05,0.047810543,0.08715958,73.90291262135922,3.7289632917607873,3.7289632917607873,0.03271472828408468,1.0
290000,1.3256701,2.2835765,0.23979263,0.25334072,0.0983775,9.928673e-05,0.036414526,0.07739724,65.66176470588235,2.548534457700966,2.548534457700966,0.03208466812995446,1.0
300000,1.3808955,1.9183862,0.24249507,0.14762644,0.09512236,9.926278e-05,0.025745073,0.059758008,73.72727272727273,3.243630651487123,3.243630651487123,0.017722048670685758,1.0
310000,1.3821965,1.7948498,0.2457935,0.12829939,0.102478646,9.92388e-05,0.033327676,0.0687642,75.72413793103448,2.770310941414955,2.770310941414955,0.024956042532068796,1.0
320000,1.3993357,2.2039192,0.30012858,0.16415854,0.10087379,9.921234e-05,0.03619571,0.061797004,64.52413793103449,2.8737299053205385,2.8737299053205385,0.0279246108079355,1.0
330000,1.3544513,2.5168726,0.33581707,0.0807169,0.096639395,9.918625e-05,0.0277236,0.052842956,61.860759493670884,3.311836884746069,3.311836884746069,0.0199663670574421,1.0
340000,1.3836192,2.0824695,0.31311947,0.15172388,0.10099335,9.9162244e-05,0.023346014,0.04799422,84.74074074074075,3.0735103857738,3.0735103857738,0.02304656283511711,1.0
350000,1.4024769,2.2620609,0.29980242,0.113468215,0.10421745,9.9138706e-05,0.028594783,0.07073863,88.1574074074074,3.3373577583719185,3.3373577583719185,0.028388185362995567,1.0
360000,1.2068404,2.9979568,0.3099017,0.15326162,0.09861487,9.911243e-05,0.029516995,0.05369712,53.21468926553672,3.941746303927427,3.941746303927427,0.016116180912312646,1.0
370000,1.265739,2.764021,0.26911488,0.0816431,0.103243075,9.908659e-05,0.026376659,0.058520295,44.88235294117647,3.27012660222895,3.27012660222895,0.012707941042368902,1.0
380000,1.1947384,2.5604646,0.21246116,0.19429709,0.09982356,9.906084e-05,0.02655989,0.047389887,58.38926174496644,3.120267340000844,3.120267340000844,0.017113629357042352,1.0
390000,1.2632895,2.316556,0.16345084,0.3436018,0.10355452,9.9037505e-05,0.026456749,0.07459823,50.832432432432434,2.8266069030248993,2.8266069030248993,0.015390650529454472,1.0
400000,1.2032719,2.1545231,0.1339278,0.14737035,0.09581841,9.901294e-05,0.050919212,0.10259938,86.23300970873787,2.5754360895530852,2.5754360895530852,0.04859920863322366,1.0
410000,1.1900721,1.8659033,0.11296235,0.07787111,0.092154615,9.898718e-05,0.04043102,0.061560374,64.3203125,2.5378860179768052,2.5378860179768052,0.026396082625760472,1.0
420000,1.2182294,2.1367977,0.08203266,0.14152054,0.09603931,9.896113e-05,0.028749298,0.065518335,69.91549295774648,3.272828165521013,3.272828165521013,0.022576922871971647,1.0
430000,1.2240486,2.082476,0.07849707,0.08298649,0.0970492,9.893781e-05,0.02894138,0.0584799,55.27428571428572,2.5580974418776377,2.5580974418776377,0.016486158837298197,1.0
440000,1.1853347,2.2371032,0.08396724,0.10583718,0.096525356,9.891456e-05,0.023783911,0.06367035,51.77956989247312,2.86637609687081,2.86637609687081,0.013563011023390262,1.0
450000,1.1761284,2.1393251,0.08939787,0.10414038,0.10325541,9.888851e-05,0.028227722,0.06403053,73.45238095238095,2.9331545910835266,2.9331545910835266,0.022316635467112066,1.0
460000,1.1106977,2.157887,0.10246236,0.09822699,0.10227375,9.886245e-05,0.02975021,0.04941702,52.82183908045977,2.827874467290681,2.827874467290681,0.017753208970019443,1.0
470000,1.1433239,2.1193867,0.10775008,0.42502353,0.09863076,9.883739e-05,0.039881352,0.07394454,48.083333333333336,1.9640133784097784,1.9640133784097784,0.022146129064768663,1.0
480000,1.1146158,2.582928,0.10147347,0.14781609,0.10282683,9.88135e-05,0.032049336,0.06464036,57.88622754491018,3.0868623185300543,3.0868623185300543,0.023857530513164884,1.0
490000,1.0941346,2.584778,0.111508146,0.103061244,0.09872866,9.8787525e-05,0.031107742,0.060636707,47.477777777777774,3.2777628007862303,3.2777628007862303,0.012688402325147763,1.0
500000,1.1280755,2.1914551,0.10714844,0.20672981,0.09895013,9.876066e-05,0.03137315,0.060122408,62.9390243902439,2.459607613598642,2.459607613598642,0.02659706405629661,1.0
510000,1.1218274,2.5131626,0.10458346,0.12852865,0.10064119,9.873687e-05,0.03067415,0.06750882,59.94444444444444,3.6272585435879012,3.6272585435879012,0.01882547977633283,1.0
520000,1.1327062,2.957186,0.11966391,0.11373363,0.09389289,9.8712815e-05,0.018557593,0.048459314,41.81115879828326,3.752650654111297,3.752650654111297,0.009070081413471712,1.0
530000,1.0352741,3.205484,0.1339098,0.10121839,0.10460162,9.8687015e-05,0.02614426,0.058223944,41.2,3.826446058859885,3.826446058859885,0.012430344292773206,1.0
540000,1.1075258,3.2516115,0.13131931,0.17819011,0.0951513,9.866119e-05,0.016760131,0.048415225,41.13135593220339,3.721390912552926,3.721390912552926,0.007456802831813379,1.0
550000,1.1537095,2.3146536,0.11311295,0.27084884,0.09942816,9.863786e-05,0.031478588,0.054118145,78.91150442477876,2.6120139547681385,2.6120139547681385,0.027514024357418572,1.0
560000,1.1764822,2.0914674,0.12190445,0.07384804,0.10558853,9.8613535e-05,0.029153818,0.050900817,51.53409090909091,2.9048774478125705,2.9048774478125705,0.015737379161840946,1.0
570000,1.1101536,2.3326952,0.12519147,0.10824778,0.09587176,9.8587385e-05,0.023891153,0.058680266,65.5608108108108,3.1866888517425176,3.1866888517425176,0.017578169707146308,1.0
580000,1.1409109,2.5191836,0.15222378,0.18402046,0.09769857,9.8561075e-05,0.025201377,0.05603098,50.58522727272727,3.1323491179130296,3.1323491179130296,0.01206301149531183,1.0
590000,1.1503414,2.5142188,0.1398528,0.23758478,0.09800124,9.853698e-05,0.02859909,0.051692937,52.03260869565217,3.446685231574204,3.446685231574204,0.01787207689219782,1.0
600000,1.0712763,2.411983,0.15450771,0.15808949,0.09665848,9.851322e-05,0.02596505,0.04970387,59.283018867924525,3.0658506256229474,3.0658506256229474,0.016332172364019935,1.0
610000,1.0922275,2.6574113,0.17533787,0.09140913,0.1019737,9.8486955e-05,0.02739361,0.05789309,51.43850267379679,3.307736646045338,3.307736646045338,0.015971860989061667,1.0
620000,1.175575,2.4656818,0.16225849,0.0675203,0.1025542,9.846115e-05,0.022609055,0.05162377,59.2710843373494,3.1394261060708977,3.1394261060708977,0.014498301917765603,1.0
630000,1.1985245,2.348985,0.14777614,0.06763603,0.10247221,9.843538e-05,0.026393399,0.0631575,59.20245398773006,2.836544056428722,2.836544056428722,0.021012589642549494,1.0
640000,1.189725,2.57695,0.13200895,0.12309126,0.089240655,9.8411416e-05,0.023543002,0.04258982,65.79054054054055,3.516890726932863,3.516890726932863,0.017111763335545833,1.0
650000,1.0856987,2.925509,0.13539663,0.08387958,0.09570867,9.8387754e-05,0.019572604,0.045520194,46.46666666666667,3.6112842723656606,3.6112842723656606,0.010222898430954577,1.0
660000,0.9794265,3.1749442,0.13101226,0.109259024,0.1038151,9.836197e-05,0.028014118,0.062934704,39.012,3.7976795728206634,3.7976795728206634,0.011851287744939328,1.0
670000,1.1052983,2.928816,0.12676089,0.15142705,0.10040168,9.833586e-05,0.038751904,0.06308817,45.656565656565654,3.2123115198178724,3.2123115198178724,0.025336851949704753,1.0
680000,0.976009,2.9042504,0.12871076,0.07211141,0.10641249,9.831238e-05,0.02473766,0.048629045,41.96943231441048,3.628709005476606,3.628709005476606,0.011526216043151231,1.0
690000,1.0222036,3.0761302,0.11368668,0.10605077,0.093707465,9.8289005e-05,0.024851516,0.03897379,50.08955223880597,3.7681123957037927,3.7681123957037927,0.014927327648038044,1.0
700000,0.9873889,2.4125094,0.09861569,0.12769821,0.09691592,9.826283e-05,0.03105039,0.048955858,60.83448275862069,2.2069182118324386,2.2069182118324386,0.020624486858675843,1.0
710000,1.142732,2.4108248,0.10528004,0.18353571,0.09535909,9.823835e-05,0.03130259,0.06567394,51.89673913043478,3.5966919228837297,3.5966919228837297,0.02021432037943521,1.0
720000,1.1578497,2.4625988,0.10657651,0.15138826,0.09943704,9.821466e-05,0.035607092,0.067179315,49.18617021276596,2.7413419596058257,2.7413419596058257,0.021125950589231116,1.0
730000,1.1235362,1.919065,0.09606268,0.33427647,0.099163264,9.818874e-05,0.02978612,0.044507034,63.56164383561644,2.1598317277842556,2.1598317277842556,0.02107038974986765,1.0
740000,1.0353532,2.3431017,0.10220372,0.110218786,0.098059304,9.81629e-05,0.021033922,0.036063395,49.13775510204081,2.9118661184091956,2.9118661184091956,0.011467354176138356,1.0
750000,1.102933,2.4099932,0.09451542,0.23655029,0.10198929,9.813714e-05,0.029136816,0.09410347,53.84444444444444,2.9437739729881285,2.9437739729881285,0.01767594304918829,1.0
760000,1.0741748,2.2357311,0.08792889,0.16993484,0.09426488,9.8111064e-05,0.023893671,0.06275529,47.956989247311824,2.6713229622892154,2.6713229622892154,0.012153702817158774,1.0
770000,1.0213108,2.1795456,0.087158285,0.30323732,0.094396144,9.8087025e-05,0.036286365,0.082043365,56.23121387283237,2.7599438411551853,2.7599438411551853,0.02298090717793161,1.0
780000,1.0933152,2.2016563,0.07894281,0.183591,0.09194668,9.8064e-05,0.022998217,0.049151734,56.906976744186046,3.306086334878999,3.306086334878999,0.014268390589388292,1.0
790000,1.1355221,2.5642154,0.0747732,0.045137372,0.10166355,9.803825e-05,0.020351904,0.051406395,52.84239130434783,3.024914235200571,3.024914235200571,0.01373277480192685,1.0
800000,1.078988,1.9109048,0.08139475,0.12990145,0.10489134,9.8012504e-05,0.028706158,0.04010787,51.876344086021504,2.052845800435671,2.052845800435671,0.016008841201803216,1.0
