Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,-0.62445223,0.14612682,0.10563475,9.975033e-05,1.8700628,248.0,1.2435665354132652,1.2435665354132652,1.0
40000,-0.3455731,0.16147432,0.10146759,9.9642086e-05,1.7533891,None,None,None,1.0
50000,0.48538834,0.34680557,0.09700235,9.954991e-05,1.7075182,None,None,None,1.0
60000,1.0065448,0.26821443,0.0956721,9.9465455e-05,1.5882312,248.0,3.7845992520451546,3.7845992520451546,1.0
70000,2.644012,0.856552,0.099719234,9.934998e-05,1.3235413,248.0,12.70943096280098,12.70943096280098,1.0
80000,2.9480648,0.5441076,0.09731799,9.925149e-05,1.3388269,248.0,5.672185134142637,5.672185134142637,1.0
90000,3.2056594,0.55529,0.09954922,9.915199e-05,1.3008387,None,None,None,1.0
100000,3.852342,0.63362956,0.094488576,9.9049605e-05,1.2636075,None,None,None,1.0
110000,4.254713,0.5646128,0.09930468,9.894648e-05,1.2967134,217.0,9.058401226997375,9.058401226997375,1.0
120000,4.560513,0.5997003,0.09850201,9.884315e-05,1.2321748,106.0,9.569666862487793,9.569666862487793,1.0
130000,5.063034,0.52885854,0.10519987,9.8751036e-05,1.1088506,None,None,None,1.0
140000,5.4797177,0.59916186,0.09775345,9.8658864e-05,1.1696069,None,None,None,1.0
150000,4.9992285,0.6556596,0.09814693,9.855481e-05,1.1461891,181.2,9.115946555137635,9.115946555137635,1.0
160000,4.9771676,0.48051462,0.099673264,9.845119e-05,1.1433377,156.0,9.327232360839844,9.327232360839844,1.0
170000,4.829065,0.4018175,0.091615535,9.835861e-05,1.0805275,224.6,7.479204082489014,7.479204082489014,1.0
180000,4.953962,0.47645885,0.0985914,9.825655e-05,1.0761151,174.0,9.256006598472595,9.256006598472595,1.0
190000,5.1967506,0.5362544,0.09167673,9.8153425e-05,1.1007174,157.2,9.249880862236022,9.249880862236022,1.0
200000,5.2117753,0.49481502,0.09864903,9.804987e-05,1.0772947,155.5,9.317478239536285,9.317478239536285,1.0
210000,4.897408,0.39349386,0.097684205,9.79552e-05,1.1062957,214.25,7.062600255012512,7.062600255012512,1.0
220000,4.9408007,0.3839238,0.091770634,9.785754e-05,1.067187,165.66666666666666,9.211497187614441,9.211497187614441,1.0
230000,5.3537574,0.6685028,0.102985166,9.7754426e-05,0.9968455,138.5,9.404683709144592,9.404683709144592,1.0
240000,4.611541,0.37448657,0.100377634,9.7644435e-05,0.9844369,204.5,7.591159373521805,7.591159373521805,1.0
250000,5.2129364,0.5174385,0.105532564,9.754832e-05,0.9025828,182.0,10.877909719944,10.877909719944,1.0
260000,4.8729463,0.527042,0.10056095,9.744812e-05,0.91671735,231.86666666666667,6.4868277082076435,6.4868277082076435,1.0
270000,5.1507444,0.61622334,0.10316023,9.734664e-05,0.89179724,128.33333333333334,7.865085339546203,7.865085339546203,1.0
280000,4.9973207,0.4777492,0.09962567,9.725374e-05,0.8592228,147.8,9.271820092201233,9.271820092201233,1.0
290000,5.1033063,0.3447559,0.09830964,9.7150376e-05,0.88477784,162.5,9.231267243623734,9.231267243623734,1.0
300000,5.01227,0.5263463,0.09689267,9.705685e-05,0.88326937,151.66666666666666,9.356043855349222,9.356043855349222,1.0
310000,5.5796895,0.6164482,0.10607739,9.695177e-05,0.8225498,184.0,8.994827508926392,8.994827508926392,1.0
320000,6.0442853,0.62977993,0.09846159,9.685056e-05,0.8201678,161.33333333333334,9.318856875101725,9.318856875101725,1.0
330000,6.3624716,0.5876962,0.1022982,9.675794e-05,0.7716419,131.0,9.472561836242676,9.472561836242676,1.0
