Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
1900000,1.5412575,0.12922396091744304,143.6,4.0,0.0624414,0.041769776,0.12922389805316925,0.13847837098874152,0.014462763,0.0972032,0.00024316681,0.020264838,0.607015
1910000,1.5577958,0.07132645999081433,117.9,4.0,0.057440497,0.045309752,0.0713263750076294,0.11312064682133496,0.010994037,0.09459555,0.00024285272,0.022549238,0.5746292
1920000,1.5593882,1.5959714364726096,127.25,4.0,0.13507596,0.04792132,1.5959714241325855,0.11669387365691364,0.009544049,0.106030464,0.00024254146,0.026848873,0.5921565
1930000,1.5438977,0.8552482828298318,177.42857142857142,4.0,0.1053225,0.045962073,0.35119590163230896,0.14004499992976585,0.005805993,0.09513748,0.0002422316,0.022453109,0.5430459
1940000,1.5438023,0.6201088299923059,146.11111111111111,4.0,0.09462584,0.041244853,0.9460540652275086,0.15106359776109457,0.018116925,0.10160219,0.00024194964,0.021934656,0.53218687
1950000,1.5378052,-0.28310388296709527,178.71428571428572,4.0,0.096389666,0.04056209,-0.28310398544584003,0.21008884108492307,0.019196996,0.092066765,0.00024166873,0.022765,0.59240943
1960000,1.5602876,0.5008744597693698,140.66666666666666,4.0,0.047652774,0.032784294,0.5008743339114718,0.1639871953262223,0.007302854,0.09835216,0.00024135725,0.022742871,0.66037494
1970000,1.5443791,-0.1790012056590058,160.25,4.0,0.007009926,0.03804188,-0.17900127544999123,0.18753046449273825,0.007942712,0.09814435,0.00024104693,0.024800474,0.57177556
1980000,1.5474523,1.0587982122087851,110.83333333333333,4.0,0.060049526,0.05039181,1.058798183997472,0.1695022388206174,0.016421912,0.098411486,0.0002407344,0.029493537,0.5580884
1990000,1.5400801,1.491245347385605,110.75,4.0,0.16929133,0.04688613,1.4912453244129817,0.10995722841471434,0.03296761,0.10060887,0.00024045235,0.022885825,0.57377833
2000000,1.5466493,-1.4893500532877322,176.5,4.0,0.06993089,0.04228698,-1.4893501996994019,0.1845303593824307,0.0187833,0.09900496,0.00024016722,0.025384882,0.5647185
2010000,1.5666366,0.835328566383269,4368.1,4.0,0.1064099,0.04360714,0.8353284467634694,1.8921331196092068,0.023955703,0.093451485,0.00023985561,0.024121698,0.5584919
2020000,1.5726829,0.08897240415925849,147.57142857142858,4.0,0.08389157,0.04772677,0.08897233643880272,0.2109441218365516,0.008118855,0.09307219,0.00023954133,0.031374536,0.58873284
2030000,1.5746378,-0.02506749302015773,195.57142857142858,4.0,0.03662783,0.04321867,-0.025067546537944248,0.21549639904073306,0.008944379,0.09714463,0.00023923216,0.025955489,0.56968516
2040000,1.5429009,1.6541061681281362,141.0,4.0,0.14060532,0.04257302,1.654106040795644,0.17699624246193302,0.00590586,0.10116863,0.00023895243,0.02750099,0.5669424
2050000,1.5413765,0.8785453823134693,222.3,4.0,0.05507669,0.037352882,0.8785452743230053,0.2992453403770924,0.015864024,0.102135226,0.00023867031,0.022542503,0.5484492
2060000,1.5481554,2.3498882285149936,107.72727272727273,4.0,0.14153166,0.044259787,2.3498881405050103,0.08115396089851856,0.0152381435,0.09869221,0.00023835273,0.02195268,0.55822814
2070000,1.501258,1.3725887941254769,125.0,4.0,0.19483747,0.042905953,1.3725887387990952,0.11705378233455122,0.010869706,0.09915254,0.00023803762,0.023712393,0.5405865
2080000,1.4863155,1.1931858746684156,143.08333333333334,4.0,0.22599657,0.05854496,1.1931857739885647,0.14358284782307842,0.011843399,0.09720909,0.00023775474,0.025456311,0.5022199
2090000,1.4966575,1.373208465339202,128.88888888888889,4.0,0.18303837,0.048391018,1.373208396964603,0.13705482313202488,0.0183488,0.10010724,0.00023746998,0.022572344,0.5319456
2100000,1.5026826,-1.8556187292095274,233.8,4.0,0.041744355,0.038415264,-1.855618804693222,0.27930195033550265,0.0113101015,0.090615705,0.00023715897,0.023890821,0.5338222
