Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
6440000,0.7603262,4.7462726,0.04310245,0.113285094,0.09722131,8.39132e-05,0.041040026,0.12821761,69.98550724637681,8.00367758342688,8.00367758342688,0.032239191371465116,1.0
6450000,0.67525005,4.501092,0.047117893,0.15160589,0.10012688,8.388798e-05,0.027951572,0.055318225,96.56043956043956,7.9054767695757056,7.9054767695757056,0.030109042741209884,1.0
6460000,0.68382746,4.6295,0.05046735,0.24384816,0.0961787,8.3861625e-05,0.029121,0.07672373,92.62162162162163,8.5634846302596,8.5634846302596,0.031094739682157525,1.0
6470000,0.6493086,4.6410728,0.051860373,0.14949067,0.09950929,8.383785e-05,0.026773714,0.033071987,93.8921568627451,8.192510173737425,8.192510173737425,0.030316441729031866,1.0
6480000,0.7156236,4.481738,0.052025434,0.0910552,0.10067143,8.381314e-05,0.027364358,0.06153025,82.6842105263158,7.260588319757871,7.260588319757871,0.02477703915560717,1.0
6490000,0.72251374,4.8112073,0.05305573,0.1313818,0.10231117,8.378634e-05,0.028294478,0.05613796,93.73076923076923,8.403302039234685,8.403302039234685,0.02988249279307918,1.0
6500000,0.6523923,5.448923,0.049392596,0.2792001,0.08768553,8.3762796e-05,0.01991477,0.034705512,87.2872340425532,10.237952101858038,10.237952101858038,0.020668112670414542,1.0
6510000,0.68646306,5.0905504,0.05012468,0.31143835,0.10305508,8.373844e-05,0.02907585,0.044932246,97.05607476635514,9.328778946342377,9.328778946342377,0.028497854443580415,1.0
6520000,0.7149067,4.7066264,0.051978346,0.17136708,0.10061444,8.371232e-05,0.033871494,0.08690052,92.98058252427184,6.857215340648379,6.857215340648379,0.035501771261139466,1.0
6530000,0.758869,4.360169,0.049792085,0.16336384,0.09322937,8.368621e-05,0.031823423,0.06848498,98.46236559139786,7.807804339034583,7.807804339034583,0.0335252174625038,1.0
6540000,0.7196369,5.098732,0.046679284,0.20859547,0.10420708,8.366043e-05,0.02733191,0.054868497,90.74528301886792,9.239356063728062,9.239356063728062,0.028772828652400453,1.0
6550000,0.7478339,4.5534005,0.048822172,0.08262694,0.100925095,8.363704e-05,0.029211638,0.036414176,63.79020979020979,6.8873234887223145,6.8873234887223145,0.020758027072435806,1.0
6560000,0.68582654,4.795904,0.046600215,0.106834814,0.10189076,8.361343e-05,0.022378443,0.032014277,69.69064748201438,7.87298976817577,7.87298976817577,0.017048661301428413,1.0
