Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
180000,1.0044582,10.0,-0.35703632,0.2142346,0.002012579,0.095985904,0.00029472902,0.13935414,0.23559037,-0.942249931191327,246.1,-0.9508511512837512,0.3531430533670999
190000,1.0140482,10.0,-0.36034802,0.1871508,0.0024104968,0.10076921,0.0002944512,0.13814427,0.23698588,-0.9181735438566344,243.22916666666666,-0.9086589979570966,0.3527437574663308
200000,0.9441639,10.0,-0.3762649,0.16995165,0.00016619808,0.09136702,0.00029414886,0.13435687,0.22976139,-0.999684141642463,248.0,-0.9997000873088837,0.34651441108435393
210000,0.9105999,10.0,-0.38479048,0.15697993,0.0011592105,0.10289206,0.00029384717,0.13553292,0.21019591,-0.9708249312767293,247.05,-0.9728605504645857,0.333838596073694
220000,0.8636667,10.0,-0.3492616,0.15104313,0.005721922,0.09619436,0.0002935556,0.12034011,0.17824587,-0.6811869262445082,229.4390243902439,-0.6811870620018099,0.297056509352221
230000,0.79917794,10.0,-0.25399798,0.14149576,0.010820661,0.099409655,0.00029326513,0.11924531,0.18208487,-0.3563749410386663,202.04166666666666,-0.3563750659426053,0.23110310973909995
240000,0.8011447,10.0,-0.09796214,0.12406666,0.013945492,0.09849345,0.00029297452,0.097366706,0.14986138,-0.08143672872944896,182.68965517241378,-0.0653216959091655,0.17952795758467624
250000,0.79734874,10.0,-0.048914935,0.113047644,0.009120023,0.094696775,0.00029265898,0.09558413,0.13337532,-0.4802712585809532,217.30232558139534,-0.4803333947824877,0.2213920574786878
260000,0.8699991,10.0,-0.08433275,0.10139746,0.010576941,0.102778696,0.00029234606,0.09673471,0.1834974,-0.3562399398442358,207.46,-0.3688105122715819,0.2092202371214608
270000,0.87518907,10.0,-0.03234711,0.101045586,0.01283736,0.09441106,0.00029203077,0.08859361,0.19117883,-0.050220073951970576,176.18867924528303,-0.05022016729948656,0.16179747474907002
280000,0.825549,10.0,-0.003916483,0.09749975,0.009018072,0.09567806,0.00029175228,0.08904096,0.26653278,-0.3168532733479515,197.7,-0.33456468521332255,0.19130779339751341
290000,0.8257539,10.0,-0.022175381,0.096174955,0.0116097275,0.10045882,0.0002914689,0.08597942,0.16781476,-0.2551357435554059,191.92592592592592,-0.24047884345054626,0.17054363852790133
300000,0.71445394,10.0,-0.0291366,0.094602644,0.009986966,0.10069363,0.0002911572,0.08312799,0.15956298,-0.1992199423722923,193.2,-0.21491161657839405,0.1662728650547678
310000,0.69779825,10.0,-0.02220988,0.08663573,0.008273842,0.099118985,0.00029084305,0.071227394,0.16862223,-0.3986666077544214,202.29166666666666,-0.37890482009673604,0.15197309114190996
320000,0.7871106,10.0,-0.04268615,0.08219085,0.008236514,0.09873554,0.00029053484,0.07799586,0.19477339,-0.4506738490384558,214.2391304347826,-0.4731408046351539,0.16680216897382505
330000,0.83614516,10.0,-0.04203439,0.07955377,0.010353463,0.10141866,0.00029025436,0.07348098,0.2248559,-0.19581541875543604,185.83928571428572,-0.1868869625031948,0.1400493281024475
340000,0.87973696,10.0,-0.013195998,0.07624621,0.00948285,0.100739434,0.00028997142,0.081797704,0.28428432,-0.40313882924965583,203.35416666666666,-0.3810764482865731,0.17286011819184446
350000,0.81968087,10.0,-0.030328507,0.078823365,0.010123184,0.095549144,0.00028965544,0.07102692,0.29476944,-0.10801228964528828,182.92592592592592,-0.12420612302693454,0.13242416558787226
360000,0.73598063,10.0,-0.03458327,0.0793043,0.009478262,0.09948092,0.00028934822,0.06699565,0.13417743,-0.2787468569111769,193.11111111111111,-0.26513842591699566,0.13408916794589526
370000,0.8573685,10.0,-0.00329872,0.07572392,0.009063499,0.09517016,0.00028903253,0.08238729,0.12681338,-0.4070992321717216,201.3404255319149,-0.40715609205530046,0.17412007824725848
380000,0.8433795,10.0,-0.028678127,0.07987269,0.010933628,0.103244655,0.0002887427,0.084076725,0.1645284,-0.23339577227792083,197.41666666666666,-0.2624305995802085,0.16936317520836988
390000,0.85565925,10.0,0.02027565,0.08110815,0.016665418,0.099599086,0.00028845883,0.081910804,0.13581997,0.10574631576787737,147.44776119402985,0.109845753481139,0.12732130040261727
400000,0.9091522,10.0,0.1682595,0.09388643,0.017084727,0.10023614,0.0002881473,0.09397605,0.15726523,0.19591785182423685,134.53424657534248,0.19491439292559753,0.12354113456761273
410000,0.97252613,10.0,0.09503489,0.11385307,0.013351291,0.09615752,0.0002878344,0.10680489,0.16653167,-0.04555022060531118,148.9206349206349,-0.03017745191051114,0.18424012083860655
420000,0.98652333,10.0,0.11645042,0.12692794,0.017633066,0.09461821,0.00028755123,0.10872573,0.21748242,0.22524826317044727,112.72340425531915,0.2058545877324774,0.12126295019852672
430000,0.9232215,10.0,0.33229285,0.13356063,0.02340815,0.09650084,0.0002872707,0.10227923,0.18273215,0.5458166939505775,74.97142857142858,0.5588380864688328,0.08152850154853825
440000,0.8820919,10.0,0.34371862,0.123682894,0.021153156,0.096547104,0.0002869595,0.09015291,0.1493947,0.5485116552720352,75.03100775193798,0.5485116167123928,0.07194783338688517
450000,0.9075516,10.0,0.44870657,0.12252692,0.02230539,0.10296991,0.00028664834,0.07963035,0.14725682,0.7070555762702957,53.38383838383838,0.6984343441447827,0.04592626277096287
