Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
11100000,1.4332976,16.38021894319615,292.8333333333333,1.4013956,0.06909524,16.38021780077257,0.3050088092956382,0.83558434,0.10211086,0.00024452602,0.065469146,0.5801802
11110000,1.4378853,18.924633650674956,545.8,1.7294602,0.0717918,18.92463274340851,0.3824708135041874,2.5520694,0.104446486,0.0002444781,0.064623326,0.5218462
11120000,1.3908318,32.38587321655523,595.6923076923077,2.5262885,0.073448546,32.38587405756128,0.4642422623001039,4.4397955,0.10604081,0.00024442642,0.06867651,0.49756083
11130000,1.3458363,26.607638129180224,394.72727272727275,2.3074834,0.081332,26.60763981767749,0.29651204725219443,5.627861,0.09886208,0.00024437378,0.065951526,0.42586365
11140000,1.3919927,93.84960389514094,276.0,3.0102816,0.078144245,93.84960333257861,0.2265450699487701,6.363673,0.09826797,0.0002443214,0.06608217,0.44904333
11150000,1.4307913,56.9858225986796,401.6666666666667,2.278991,0.07151782,56.98582365401819,0.35078831671530175,2.746795,0.09348824,0.0002442744,0.06297489,0.4461576
11160000,1.4720904,34.12702514737199,309.0,3.1495893,0.06342694,34.12702736904116,0.2566462726332247,2.4783998,0.09466819,0.00024422753,0.05588773,0.46132484
11170000,1.5458843,23.56176010610549,395.6363636363636,2.084775,0.06677459,23.561762110774815,0.32072518623582175,3.7291005,0.10102427,0.00024417543,0.054645736,0.49837023
11180000,1.4651347,22.461220755438323,276.25,2.040783,0.063837506,22.461221808140944,0.2051249942354237,1.8493273,0.092706695,0.00024412331,0.052793615,0.4301358
11190000,1.5314008,41.04653536973531,305.27272727272725,1.8151557,0.057016313,41.04653894567026,0.25027098426256666,4.498085,0.0951508,0.00024407674,0.05044264,0.49026978
11200000,1.5607289,70.60184278874658,192.4,2.3758826,0.058127046,70.60184664726258,0.19641356468200682,4.442602,0.10245858,0.00024402929,0.043138992,0.5895793
11210000,1.5328027,20.200072522748957,389.90909090909093,2.4033146,0.053587783,20.200072493628667,0.22260747430846095,3.514668,0.0939973,0.00024397783,0.04567621,0.56620914
11220000,1.5299777,44.81478437963718,226.5,2.1064968,0.053054217,33.961062049865724,0.2853367134928703,1.679806,0.09292414,0.0002439263,0.049736314,0.5345258
11230000,1.4755435,57.82953740193302,153.88888888888889,2.533153,0.07789056,61.95492663383484,0.17516307635232806,6.3748055,0.09751272,0.00024387523,0.052904017,0.452596
11240000,1.5389624,10.36623494782475,423.25,2.4546602,0.06878993,10.366235124727448,0.2344766019459712,3.0212302,0.098589435,0.00024382355,0.04770672,0.45187825
11250000,1.627846,18.787105987400004,834.8666666666667,2.0702693,0.07380667,18.78710570569491,0.5021082801550316,3.7127357,0.099938326,0.0002437758,0.05142611,0.55859476
11260000,1.6678603,47.13972853585387,377.90909090909093,1.3417268,0.056979425,51.96623528027046,0.26531395711936057,2.5523007,0.10634313,0.00024372902,0.038285486,0.747544
11270000,1.6972566,11.801173039029182,233.53846153846155,1.536161,0.040876076,10.877851896258248,0.14692768351440982,1.1514041,0.09822349,0.00024367648,0.03830098,0.7624828
11280000,1.6177633,27.048541483348178,1256.1875,1.8471568,0.047919415,27.048540486801503,0.8223563554493012,2.7816856,0.098983414,0.0002436246,0.04627926,0.5919821
11290000,1.6410259,10.90874215565794,138.6153846153846,0.94801074,0.051208843,7.1350450233709735,0.12906694733370236,1.713316,0.098039195,0.00024357252,0.050577372,0.654984
11300000,1.603372,23.305464935837982,312.54545454545456,1.5162127,0.051612142,26.046102915223585,0.20921946573071182,3.091607,0.10181488,0.000243526,0.052523196,0.5744504
11310000,1.5171257,27.871213551199766,386.25,2.5055568,0.061932806,27.871212120100118,0.3132608875166625,3.1872928,0.09492686,0.00024347912,0.052295573,0.5759944
11320000,1.5118265,23.135373557639628,154.33333333333334,2.2627976,0.04780554,23.13537435598167,0.09822996484187267,2.4882684,0.100816034,0.00024342744,0.053293932,0.4604838
11330000,1.5134772,50.657145588950854,334.25,2.4014575,0.05413537,50.65714489706792,0.17802783963270485,3.7003918,0.09899261,0.00024337554,0.049967714,0.5083564
11340000,1.6105835,36.48662345597646,560.75,1.963916,0.061408754,36.486625740871254,0.29340086846301955,4.747386,0.096980646,0.00024332323,0.047130175,0.48314816
11350000,1.6020925,41.13951854864902,519.7,1.9638231,0.059054073,41.13951907478134,0.2708088595420122,2.9525433,0.09543003,0.00024327167,0.041607343,0.556506
11360000,1.5929381,15.503738261616787,119.11111111111111,1.7401369,0.074355565,15.824330138391126,0.08250086336150109,3.4155176,0.09258179,0.0002432247,0.04024728,0.4890695
11370000,1.632593,19.45851841798867,121.0,1.5325886,0.0772315,18.413535714149475,0.12399299101283152,2.1749198,0.092106506,0.00024317818,0.048658818,0.5244937
11380000,1.6321409,43.5542853698467,184.0,2.0651505,0.06673932,43.55428816165243,0.2526899645371096,2.9387047,0.09969408,0.00024312567,0.044883076,0.56758136
11390000,1.5875177,7.715052376107637,589.3846153846154,1.5333203,0.049135372,7.715052261276191,0.2846476916008844,1.033107,0.099009976,0.00024307368,0.04100427,0.5420694
11400000,1.5704654,31.139911613075377,252.6,2.2567763,0.046523634,31.139911782092177,0.21784274242818355,3.0533104,0.09826531,0.0002430211,0.04285293,0.4805079
11410000,1.5781405,40.12105959400651,168.0,2.1073017,0.041697603,29.358427311692918,0.1686493344604969,5.1825027,0.09863273,0.00024297401,0.04471095,0.4872943
11420000,1.588052,20.716476282659258,190.46153846153845,1.2615087,0.047544234,27.483835398098954,0.189110910520932,2.0874612,0.093562484,0.00024292665,0.045852665,0.42129922
11430000,1.5624701,59.02569547959138,165.875,2.1539485,0.04828317,67.60060524940491,0.19546576775610447,5.3524837,0.09591206,0.00024287403,0.046116866,0.42064118
11440000,1.6116105,40.77676392392669,505.8333333333333,1.7625358,0.044703882,34.80883863427279,0.326630079586591,2.4855196,0.08903899,0.0002428214,0.042537194,0.55944663
11450000,1.6472944,30.96271548258568,205.0,1.6439229,0.055453047,30.96271550273104,0.21656753960996866,2.2419136,0.09161182,0.00024277408,0.044853214,0.6078991
11460000,1.6300135,22.69778775757026,202.0,1.6685073,0.051812757,22.697787199009326,0.19498928603050963,1.6537628,0.09655717,0.00024272715,0.04199762,0.5643953
11470000,1.6264194,56.40534974782661,177.14285714285714,1.7092447,0.050883487,56.4053519155298,0.22849217749067716,3.487702,0.09425134,0.00024267488,0.03942678,0.43636894
11480000,1.6168554,66.83762398604692,175.5,2.8285196,0.052581485,66.83762288093567,0.14602908802529177,4.568576,0.093938455,0.00024262292,0.041149415,0.46957737
11490000,1.6345506,29.18851057676584,677.125,1.559868,0.04880179,29.188513683692648,0.2949867560528219,1.1708462,0.10248479,0.00024257576,0.043715112,0.49468294
11500000,1.6346065,47.8926280136435,178.7,1.7219955,0.054267388,47.892627335757425,0.2904928147792816,3.988269,0.10708853,0.00024252881,0.04323411,0.5325426
11510000,1.6608154,4.692205343985928,907.3333333333334,1.3018997,0.034983493,4.692202939421236,0.6053461269087469,1.4353856,0.10035227,0.0002424771,0.040471874,0.4599023
11520000,1.6608592,80.05055641658109,1440.888888888889,2.5007915,0.047747668,80.05055839557451,0.843889658132361,4.8688736,0.1022348,0.00024242539,0.039270654,0.5925829
11530000,1.6215019,24.12626067432575,144.4,2.026793,0.048271667,24.126259917020796,0.16882731597870587,3.4736352,0.098132424,0.00024237398,0.041721664,0.54656523
11540000,1.664107,50.634904367360704,550.4,2.3709881,0.05130094,50.9490166888515,0.3674189628671027,4.71273,0.09916271,0.0002423218,0.03934481,0.5200215
